vaca_id;edad_meses;color;cachona;peso_kg;condicion_corporal;estado_salud;edad_primer_parto_meses;num_partos;intervalo_partos_meses;meses_desde_ultimo_parto;perdida_cria;produccion_leche_lt_dia;candidata_descarte;clasificacion_reproductiva
S00001;134.5;amarillo;1;473.9;3.6;sana;35.8;7;14.8;3.4;0;7.9;0;Buena
S00002;144.0;negro;0;466.0;2.9;sana;37.9;8;15.9;1.6;1;6.3;1;Mala
S00003;76.7;amarillo;0;466.6;2.9;sana;38.8;3;11.2;2.2;0;8.1;0;Buena
S00004;187.7;pardo;0;495.1;3.6;sana;31.3;12;16.3;1.2;1;6.9;1;Regular
S00005;107.2;rojo;0;496.6;3.4;sana;27.5;6;14.7;5.9;0;7.8;0;Regular
S00006;146.6;rojo;0;409.2;1.8;nuche;34.3;9;18.7;10.9;1;5.9;1;Mala
S00007;112.0;blanco;0;453.5;3.7;sana;26.6;6;12.2;3.1;0;8.0;0;Buena
S00008;53.6;jaspeado;0;454.6;3.4;sana;29.4;2;13.5;13.1;0;7.4;0;Buena
S00009;132.3;pardo;0;476.6;2.8;sana;30.0;8;15.4;7.5;0;7.1;0;Regular
S00010;160.2;rojo;1;491.1;3.1;sana;25.3;10;15.2;10.0;0;6.9;1;Regular
S00011;129.4;atigrado;0;473.5;3.1;sana;35.0;7;13.2;6.0;0;8.1;1;Buena
S00012;121.3;blanco;1;468.7;3.2;sana;24.9;8;14.9;8.0;1;5.0;1;Mala
S00013;73.4;negro;0;476.3;3.3;sana;34.5;2;13.1;8.5;0;8.4;0;Buena
S00014;52.8;rojo;0;451.2;3.7;sana;26.9;1;13.9;1.4;0;7.8;1;Buena
S00015;50.4;blanco;1;454.6;3.4;sana;31.7;1;12.2;11.3;0;7.7;0;Buena
S00016;148.5;careto;0;484.3;2.7;sana;27.0;10;16.0;7.6;1;5.4;1;Mala
S00017;114.2;pardo;1;461.9;3.2;sana;37.8;5;12.5;1.0;0;7.3;0;Buena
S00018;76.2;blanco;0;450.4;2.8;sana;26.1;3;14.7;1.1;0;9.0;0;Excelente
S00019;171.7;jaspeado;0;507.9;3.1;sana;37.3;10;16.0;14.9;0;7.7;1;Regular
S00020;173.0;blanco;1;498.3;2.8;sana;27.4;11;15.0;13.6;0;7.0;0;Regular
S00021;42.8;rojo;1;421.3;2.7;enferma;26.6;1;13.7;9.5;0;7.1;0;Buena
S00022;121.1;negro;1;504.4;3.6;sana;38.9;6;15.3;8.6;1;6.3;0;Regular
S00023;178.6;rojo;1;477.6;2.5;sana;26.8;11;18.7;13.7;1;5.9;1;Mala
S00024;94.9;amarillo;0;462.8;3.2;sana;38.7;4;13.6;5.4;0;8.2;0;Buena
S00025;90.1;negro;0;468.3;3.9;sana;29.3;5;12.4;0.5;0;8.3;0;Buena
